strom;guildy;pocet;cas;treatment
K12;mizu sajici clenovci;0;konec;kontrola
K12;ostatni;0;konec;kontrola
K13;predatori;2;konec;kontrola
K13;listozravi clenovci;10;konec;kontrola
K13;mizu sajici clenovci;3;konec;kontrola
K13;ostatni;0;konec;kontrola
K14;predatori;1;konec;kontrola
K14;listozravi clenovci;0;konec;kontrola
K14;mizu sajici clenovci;0;konec;kontrola
K14;ostatni;5;konec;kontrola
K15;predatori;1;konec;kontrola
K15;listozravi clenovci;0;konec;kontrola
K15;mizu sajici clenovci;2;konec;kontrola
K15;ostatni;0;konec;kontrola
P1;predatori;2;zacatek;ptaci
P1;listozravi clenovci;0;zacatek;ptaci
P1;mizu sajici clenovci;0;zacatek;ptaci
P1;ostatni;0;zacatek;ptaci
P2;predatori;1;zacatek;ptaci
P2;listozravi clenovci;1;zacatek;ptaci
P2;mizu sajici clenovci;1;zacatek;ptaci
P2;ostatni;0;zacatek;ptaci
P3;predatori;0;zacatek;ptaci
P3;listozravi clenovci;1;zacatek;ptaci
P3;mizu sajici clenovci;1;zacatek;ptaci
P3;ostatni;0;zacatek;ptaci
P4;predatori;1;zacatek;ptaci
P4;listozravi clenovci;1;zacatek;ptaci
P4;mizu sajici clenovci;2;zacatek;ptaci
P4;ostatni;0;zacatek;ptaci
P5;predatori;1;zacatek;ptaci
P5;listozravi clenovci;0;zacatek;ptaci
P5;mizu sajici clenovci;2;zacatek;ptaci
P5;ostatni;0;zacatek;ptaci
P6;predatori;0;zacatek;ptaci
P6;listozravi clenovci;3;zacatek;ptaci
P6;mizu sajici clenovci;10;zacatek;ptaci
P6;ostatni;0;zacatek;ptaci
P7;predatori;6;zacatek;ptaci
P7;listozravi clenovci;2;zacatek;ptaci
P7;mizu sajici clenovci;3;zacatek;ptaci
P7;ostatni;0;zacatek;ptaci
P8;predatori;0;zacatek;ptaci
P8;listozravi clenovci;2;zacatek;ptaci
P8;mizu sajici clenovci;0;zacatek;ptaci
P8;ostatni;0;zacatek;ptaci
P9;predatori;6;zacatek;ptaci
P9;listozravi clenovci;9;zacatek;ptaci
P9;mizu sajici clenovci;2;zacatek;ptaci
P9;ostatni;0;zacatek;ptaci
P10;predatori;1;zacatek;ptaci
